product_category_name_english,exposures,unique_orders,unique_sellers,unique_products,price_median,freight_median,freight_mean,freight_p95,freight_max,freight_to_price_ratio_median,freight_to_price_ratio_p95,freight_to_price_ratio_max,product_weight_g_median,product_volume_cm3_median,cross_state_rate,delivered_rate,exposure_share
bed_bath_table,11115,9417,196,3029,79.05,16.19,18.415928025191185,34.68299999999999,225.71,0.21901728844404,0.701162721893491,3.5479566305254377,1275.0,11880.0,0.5644624381466486,0.9854251012145749,0.09866844207723036
health_beauty,9670,8836,492,2444,79.9,15.79,18.879703205791106,38.21,338.3,0.20974606580829752,0.7730168235518471,12.244444444444444,400.0,4374.0,0.6299896587383661,0.9788004136504653,0.0858411007545495
sports_leisure,8641,7720,481,2867,78.0,16.27,19.512499710681634,39.65,293.27,0.2178482068390325,0.773109243697479,3.911111111111111,700.0,7650.0,0.6560583265825715,0.9756972572618909,0.07670661340434975
furniture_decor,8334,6449,370,2657,65.49,16.39,20.728257739380847,47.800999999999966,215.43,0.2702702702702702,0.903846153846154,3.92,1300.0,12000.0,0.6390688744900408,0.9791216702663786,0.07398135818908122
computers_accessories,7827,6689,287,1639,81.99,16.0,18.821781014437203,40.59,134.17,0.2087630476904806,0.798941798941799,3.871794871794872,300.0,3600.0,0.7288871853839274,0.9766193944039862,0.06948069241011984
housewares,6964,5884,468,2335,59.8,16.74,20.986374210224007,48.99849999999999,375.28,0.2899635386682018,1.0572105910777518,5.957516339869281,1205.0,14000.0,0.5973578403216542,0.9757323377369328,0.06181979582778518
watches_gifts,5991,5624,101,1329,129.0,15.82,16.7811600734435,34.465,209.63,0.1152173913043478,0.5206896551724138,2.1487437185929648,348.0,2464.0,0.6543148055416458,0.9779669504256384,0.05318242343541944
telephony,4545,4199,149,1134,29.99,15.1,15.669040704070406,27.882000000000037,121.22,0.4324624791550862,1.2235924589389904,5.005005005005005,225.0,1020.0,0.6580858085808581,0.9746974697469747,0.04034620505992011
garden_tools,4347,3518,237,753,59.9,17.67,22.765757994018863,50.99,269.0,0.294991652754591,0.7786430166424634,2.0207100591715976,1650.0,19800.0,0.6827697262479872,0.9818265470439383,0.038588548601864184
auto,4235,3897,383,1900,84.9,17.62,21.880569067296342,51.11199999999996,245.75,0.2196581196581196,0.9249061326658322,5.208571428571429,900.0,7500.0,0.6247933884297521,0.9775678866587958,0.037594318686196185
toys,4117,3886,252,1411,79.9,16.11,18.806400291474375,39.36999999999999,193.76,0.1989138867339022,0.6489991741872096,7.422845691382765,800.0,12500.0,0.6358999271314064,0.9788681078455186,0.0365468264536174
cool_stuff,3796,3632,267,789,129.99,17.65,22.138856691253952,53.005,174.95,0.15586498200757376,0.6225779275484414,3.370336669699727,1450.0,15750.0,0.6957323498419389,0.9794520547945206,0.03369729249889037
perfumery,3419,3162,175,868,84.99,15.13,15.856636443404502,28.392999999999997,95.89,0.1715454545454545,0.8470335954253038,5.301644031451037,400.0,4080.0,0.6338110558642878,0.9768938286048552,0.03035064358632934
baby,3065,2885,244,919,77.98,16.99,22.301177814029366,57.64199999999999,409.68,0.2244444444444444,0.7382460820273425,3.983050847457627,700.0,10560.0,0.6453507340946166,0.9729200652528548,0.027208166888592986
electronics,2767,2550,149,517,21.9,15.1,16.833509215757136,34.447,177.26,0.6225563909774436,1.586666666666667,3.898947368421053,200.0,3648.0,0.6895554752439466,0.986266714853632,0.024562805148690636
stationery,2517,2311,173,849,79.0,16.29,18.592959872864522,39.224,222.38,0.2253164556962025,0.8958823529411765,3.963210702341137,1000.0,18270.0,0.6146205800556218,0.9797377830750894,0.022343541944074567
fashion_bags_accessories,2031,1864,99,849,49.0,15.1,15.484982767109798,27.740000000000002,133.37,0.2768384192096048,0.8,2.9657894736842105,200.0,1584.0,0.6287543082225505,0.9773510585918267,0.01802929427430093
pet_shop,1947,1710,137,719,89.7,16.71,20.319075500770413,44.48599999999998,196.94,0.2127021170195032,0.7398015838055269,3.043405676126878,875.0,11520.0,0.6522855675398048,0.9881869542886492,0.017283621837549935
