route_state,exposures,unique_orders,unique_sellers,unique_products,price_median,freight_median,freight_mean,freight_p95,freight_max,freight_to_price_ratio_median,freight_to_price_ratio_p95,freight_to_price_ratio_max,product_weight_g_median,product_volume_cm3_median,cross_state_rate,delivered_rate,exposure_share
SP_to_SP,36192,31502,1592,14140,59.99,11.85,13.204758233863837,25.69,174.45,0.18825428854634457,0.642713567839196,6.575,600.0,6050.0,0.0,0.9788074712643678,0.32127829560585885
SP_to_RJ,9688,8457,1044,5255,74.9,17.19,20.46609000825764,44.25099999999995,200.49,0.25714043747719373,0.9145047288150027,5.076666666666667,800.0,7220.0,1.0,0.9705821635012386,0.08600088770528184
SP_to_MG,8703,7591,999,4855,69.0,17.6,20.25482936918304,38.061999999999934,322.1,0.272463768115942,0.9358938345987703,3.9051282051282055,700.0,6613.5,1.0,0.9843732046420774,0.07725699067909454
SP_to_RS,4194,3668,733,2680,69.7,17.67,20.73813543156891,41.46499999999999,254.55,0.2798748592870544,1.0133694707350467,12.244444444444444,800.0,8000.0,1.0,0.9856938483547926,0.03723035952063915
SP_to_PR,3667,3177,723,2404,65.49,17.67,20.519481865284973,41.33,375.28,0.2835585190384277,1.000311521526415,5.208571428571429,700.0,6768.0,1.0,0.9841832560676302,0.03255215268530848
PR_to_SP,3410,3019,282,1565,93.25,15.585,19.288856304985337,39.211499999999965,244.34,0.1778982485404503,0.7656298618579951,3.108179419525066,656.5,6122.5,1.0,0.9794721407624634,0.03027075011096316
MG_to_SP,2964,2633,183,1375,79.9,16.74,21.528151147098516,45.65749999999997,321.46,0.2537911301859799,0.8867924528301886,26.23529411764706,900.0,7971.0,1.0,0.9790823211875843,0.026311584553928097
SP_to_SC,2749,2370,605,1820,69.0,17.67,20.80111313204802,41.31399999999999,375.28,0.280237080940915,0.9534202955794727,4.674358974358975,700.0,7200.0,1.0,0.9854492542742815,0.024403018197958277
SP_to_BA,2708,2387,613,1885,70.9,19.94,24.242378138847858,50.5065,256.13,0.30556847656511704,1.1038769384692348,4.4972,650.0,6000.0,1.0,0.9697193500738552,0.024039059032401243
MG_to_MG,1709,1572,165,902,84.81,14.21,17.172112346401406,29.5,121.22,0.1983816710610055,0.6271356783919598,2.7076923076923074,1100.0,8000.0,0.0,0.9765944997074313,0.015170883266755437
SP_to_GO,1701,1463,462,1237,69.99,17.77,20.759329805996476,42.05,149.64,0.2669333333333333,1.0073382254836558,3.871794871794872,680.0,6300.0,1.0,0.974132863021752,0.015099866844207723
SP_to_ES,1647,1492,501,1214,69.99,17.63,20.55878567091682,41.754,321.88,0.2578888888888889,1.007133333333333,2.679465776293823,738.0,6400.0,1.0,0.98421372191864,0.014620505992010653
SP_to_DF,1599,1415,487,1212,69.9,16.4,19.907473420888053,38.58099999999995,294.76,0.2541038525963149,0.9873520637847792,3.2755102040816326,600.0,5628.5,1.0,0.9787367104440275,0.014194407456724368
RJ_to_SP,1518,1381,133,712,108.0,16.43,19.139104084321474,32.04899999999999,119.99,0.1561301084236863,0.7533428143169364,2.1625148279952553,500.0,5286.0,1.0,0.9683794466403162,0.013475366178428762
SC_to_SP,1506,1348,145,734,79.945,17.95,22.184116865869854,46.22,339.59,0.234310591106849,0.7587939698492463,2.8046153846153845,750.0,7644.0,1.0,0.9873837981407703,0.01336884154460719
MG_to_RJ,1329,1196,151,706,89.99,18.11,24.696922498118887,54.72,207.78,0.2692179478631908,0.88875809299588,21.447058823529417,1200.0,8000.0,1.0,0.9593679458239278,0.011797603195739014
SP_to_PE,1289,1172,419,971,79.0,26.33,30.815190069821565,56.765999999999984,258.28,0.3395576504713561,1.274681223609806,3.898947368421053,600.0,5700.0,1.0,0.9666408068269977,0.011442521083000444
PR_to_RJ,1147,1007,183,659,94.0,19.02,22.38263295553618,40.585,155.82,0.2197452229299362,0.974058577405858,3.3033472803347275,600.0,5200.0,1.0,0.972101133391456,0.010181979582778517
SP_to_CE,1134,1009,362,839,86.9,26.75,30.94736331569665,59.719999999999786,250.57,0.3332527377902904,1.2523095238095214,3.1443037974683543,550.0,4999.0,1.0,0.9620811287477954,0.010066577896138481
RJ_to_RJ,1122,998,120,585,99.9,10.53,12.42421568627451,22.03000000000001,105.33,0.1134020286380801,0.6285987785559451,1.7852542372881357,600.0,5272.5,0.0,0.966131907308378,0.009960053262316911
PR_to_MG,938,839,187,596,99.0,19.645,23.20188699360341,43.626999999999995,202.37,0.2141086493625508,0.8883597883597883,2.1351689612015017,750.0,6000.0,1.0,0.9861407249466951,0.008326675543719485
PR_to_PR,827,734,178,517,89.1,13.47,15.831765417170496,33.232999999999954,117.35,0.1626043405676127,0.8,3.006896551724138,700.0,5814.0,0.0,0.973397823458283,0.0073413226808699515
SP_to_PA,785,701,312,638,79.99,26.09,32.049859872611464,65.498,250.57,0.3537722908093278,1.3571110300968117,7.422845691382765,600.0,5508.0,1.0,0.9745222929936306,0.006968486462494452
SP_to_MT,772,663,305,622,78.0,20.93,25.552901554404144,55.876,338.3,0.2964820251347605,1.17825751879699,2.206,800.0,7776.0,1.0,0.9857512953367875,0.006853084775854416
RS_to_SP,762,684,95,369,98.5,18.26,23.764094488188977,60.3,225.71,0.2247619047619047,0.7577411582436694,4.810888252148996,650.0,7500.0,1.0,0.9829396325459318,0.006764314247669774
PR_to_RS,696,596,166,436,89.5,17.98,21.352902298850577,40.235,137.13,0.2181575525155525,0.893491124260355,2.933333333333333,750.0,6851.0,1.0,0.9841954022988506,0.006178428761651132
RJ_to_MG,622,567,95,364,105.0,16.825,18.404292604501606,26.406999999999982,127.1,0.159047619047619,0.8319788939048991,2.547389558232932,548.5,5047.0,1.0,0.9839228295819936,0.005521526853084776
SP_to_MA,566,509,231,459,79.45,34.43,38.176501766784455,71.0375,232.69,0.4367432882961923,1.7141488457796739,3.725274725274726,600.0,5257.0,1.0,0.9699646643109541,0.005024411895250777
SP_to_MS,561,484,254,443,69.9,17.72,21.80529411764706,50.49,269.0,0.2697116186031005,1.0078627591136526,2.8411764705882354,750.0,6118.0,1.0,0.9893048128342246,0.004980026631158456
SC_to_RJ,540,483,98,331,79.9,19.71,25.741444444444443,51.47149999999987,166.91,0.2564491654021243,0.8442039989844163,2.8030050083472453,783.5,8400.0,1.0,0.9833333333333333,0.004793608521970706
SC_to_MG,483,441,89,297,89.9,23.35,28.6920082815735,59.2,211.66,0.2615942028985507,0.7931925670877291,1.695959595959596,800.0,7740.0,1.0,0.9855072463768116,0.004287616511318242
PR_to_SC,451,399,135,296,98.81,16.95,20.437804878048784,39.495000000000005,143.47,0.1886428281186509,0.893491124260355,2.35,500.0,6000.0,1.0,0.9822616407982262,0.0040035508211273855
MG_to_BA,430,379,112,280,79.9,19.775,26.088302325581395,62.79649999999988,112.43,0.3275858975645505,0.9890352036091227,2.437142857142857,922.0,7650.0,1.0,0.9604651162790697,0.003817132711939636
MG_to_PR,415,370,104,288,88.9,19.59,25.26674698795181,51.172,178.33,0.3142857142857143,0.8572869389813415,2.8030050083472453,800.0,7800.0,1.0,0.9927710843373494,0.003683976919662672
SP_to_PB,400,349,178,319,89.99,34.29,42.7821,83.69449999999999,314.02,0.3994888320924548,1.5721350157190528,5.06938775510204,705.0,6745.5,1.0,0.9675,0.003550821127385708
SP_to_PI,378,343,195,324,91.995,34.15,37.50838624338624,65.78199999999988,206.45,0.3574554347472248,1.5499797610302384,3.725274725274726,700.0,6720.0,1.0,0.9576719576719577,0.003355525965379494
SP_to_RN,375,341,191,324,89.99,34.32,37.06696,65.22600000000004,312.41,0.3537256209368227,1.6812646950692969,5.301644031451037,584.0,5632.0,1.0,0.9813333333333333,0.003328894806924101
DF_to_SP,336,315,29,187,72.45,17.325,19.488601190476192,27.58,145.31,0.2442622427643886,0.85771744595274,1.995,408.5,4560.0,1.0,0.9791666666666666,0.002982689747003995
SC_to_RS,331,301,72,230,79.9,17.84,23.026132930513594,46.68,171.88,0.2330077120822622,0.7125378787878788,4.280349344978166,700.0,7106.0,1.0,0.972809667673716,0.0029383044829116734
